https://www.youtube.com/watch?v=jSq2Jhn9eT0

EDUBU1		Груз
EDCAA1		Зенитная пушка
EDWSPECIAL	AAR
EDWAN1		Antirocket
EDWAA1		Зенитная пушка
EDWEQ1		Генератор землетрясений
EDWEQ2		Генератор землетрясений УПГ1
ЭДВАРТ		артиллерия
EDSCA1		Транспортер
EDSACA1		Контейнеровоз
EDSCREAMER1	Звуковой генератор (крикун)
EDSCREAMER2	Звуковой генератор УПГ1 (Крикун)
EDSCREAMER3	Звуковой генератор УПГ2 (Крикун)
EDREPAIR1	Блок RepTure
EDREPAIR2	Ремонтный блок UPG1
EDBANNER	знамя
EDBANNERB	знамя
EDSUT		Транспортный крюк
EDSBC1		Строительный шторм
EDCART		Артиллерия (часть EDBART)


здание

код		эффект
EDBBA		Производственный центр
EDBFA		Производство оружия
EDBPP		электростанция
EDBMI		шахта
EDBRE		Очистительный завод
EDBTC		Транспортная база
EDBRC		Исследовательский центр
EDBAB		Отдел снабжения
EDBWB		Верфь
EDBPB		Коробка для таблеток
EDBST		Малая башня
EDBBT		Большая башня
EDBBC		Центр управления ракетами
EDBHQ		Командный центр
EDBSI		силос
EDBRA		радар
EDBEN1		Вход в туннель (поверхность)
EDBEN2		Вход в туннель (подземный)
EDBSS		Космодром
EDBLZ		Зона приземления
EDBUC		Ресайклер
EDBHT		Тяжелая башня
EDBART		артиллерия


Коды LC NewOne

единицы

код		эффект
LCULU1		Лунный I
LCULU2		Лунный II
LCULU3		Лунный III
LCUMO1		Луна I
LCUMO2		Луна II
LCUMO3		Луна III
LCUCR1		Кратер I.
LCUCR2		Кратер II
LCUCR3		Кратер III
LCUCU1		Крашер I.
LCUCU2		Крашер II
LCUCU3		Крушитель III
LCUHT1		Крион
LCUHERO		Поймать
LCUOB1		Зонд (фобос)
LCUME1		Метеор I.
LCUME2		Метеор II
LCUME3		Метеор III
LCUBO1		Громовержец I
LCUBO2		Громовержец II
LCUAS1		Самолет снабжения
LCUUFO		НЛО
ОПЫТНЫЙ 	ОБРАЗЕЦ	ОПЫТНЫЙ ОБРАЗЕЦ
LCUFG1		Толстая девушка c2
LCUFG2		Толстая девушка c3
LCUFG3		Толстая девушка c4
LCUSF1		Супер боец
LCUSF2		Супер истребитель м2
LCUUT		Единицы транспортеров
LCUTD		Туннельный экскаватор
LCUNH		Новая надежда
LCUCTF		Флаг CTF


Оборудование

код		эффект
LCWCH1		MG
LCWCH2		Двойной MG
LCWSR1		Ракетная пусковая установка
LCWSR2		Ракетная установка УПГ1
LCWSR3		Ракетная установка УПГ2
LCWSL1		Электрический пистолет
LCWSL2		Электрический пистолет УПГ1
LCWSS1		Звуковая пушка
LCWSS2		Звуковая пушка UPG1
LCWMR1		Тяжелая ракетная установка
LCWMR2		Тяжелая ракетная установка УПГ1
LCWMR3		Тяжелая ракетная установка УПГ2
LCWHL1		Тяжелая электрическая пушка
LCWHL2		Тяжелая электрическая пушка УПГ1
LCWHS1		Тяжелая звуковая пушка
LCWHS2		Тяжелая звуковая пушка УПГ1
LCWHC1		Плазменная артиллерия
LCWHERO		Плазменный проектор
LCWAC1		MG (воздух)
LCWAC2		Двойной MG (воздушный)
LCWAR1		Пусковая установка авиационных ракет
LCWAR2		Пусковая установка авиационных ракет УПГ1
LCWAMR1		Пусковая установка тяжелых воздушных ракет
LCWAMR2		Тяжелая авиационная ракетная установка УПГ1
LCWAS1		Тяжелая звуковая пушка (воздушная)
LCWAS2		Тяжелая звуковая пушка УПГ1 (воздух)
LCWUFO		НЛО оружие
LCCAA1		Зенитная ракетная установка
LCWAA1		Зенитная ракетная установка (воздух)
LCWAN1		Antirocket
LCWNH		Плазменная струя
LCWEQ1		Генератор землетрясений
LCWEQ2		Генератор землетрясений УПГ1
LCSOB1		Детектор I
LCSOB2		Детектор II
LCSSHR1		Щитовая батарея I
LCSSHR2		Щитовая батарея II
LCSSHR3		Щитовая батарея III
LCSREG1		Регенератор I.
LCSREG2		Регенератор II
LCSREG3		Регенератор III
LCBANNER	знамя
LCBANNERB	знамя
LCSUT		Транспортный крюк
LCSBC1		Строительный шторм
LCCART		Артиллерия (часть LCBART)
LCCSB		Солнечная батарея (часть LCBSB)
LCCSD		SDI (часть LCBSD)


здание

код		эффект
LCBBF		Основная база
LCBPP		Солнечная электростанция
LCBBA		аккумулятор
LCBMR		шахта
LCBSR		Завод по транспортировке руды
LCBRC		Исследовательский центр
LCBAB		Центр снабжения аэро
LCBGA		Хранитель
LCBDE		Защитник
LCBHQ		главное управление
LCBSD		Система защиты SDI
LCBWC		Центр управления погодой
LCBSS		Космодром
LCBSB		Солнечная батарея
LCBLZ		Зона приземления
LCLASERWALL	Лазерная стена
LCBPP2		Электростанция с ксилитом
LCBCC		центр управления
LCBUC		Ресайклер
LCBNE		ГНЕЗДО
LCBART		артиллерия
LCBEN1		Вход в туннель (поверхность)
LCBEN2		Вход в туннель (подземный)
LCMINEUPD	UPG мой
LCMETEORZ	Центр управления метеоритами
LCMETEORZK	Пушка центра управления метеоритом


Коды UCS NewOne

единицы

код		эффект
UCSUBU1		мамонт
UCSUMI1		Шахтные слои
UCSUMI2		Слои шахты II
UCSUSL1		тигр
UCSUSL2		Тигр II
UCSUSL3		Тигр III
UCSUML1			Паук
UCSUML2		Паук II
UCSUML3		Паук III
UCSUHL1		Пантера
UCSUHL2		Пантера II
UCSUHL3		Пантера III
UCSUBL1		ягуар
UCSUBL2		Ягуар II
UCSU4L1		Гризли
UCSU4L2		Гризли II
UCSU4L3		Гризли III
UCSUSS1		Акула
UCSUSS2		Акула II
UCSUSS3		Акула III
UCSUBS1		Гидра
UCSUBS2		Гидра II
UCSUBS3		Гидра III
UCSUA11		Горгулья
UCSUA12		Горгулья II
UCSUA13		Горгулья III
UCSUA21		Летучая мышь
UCSUA22		Летучая мышь II
UCSUA31		Дракон
UCSUA32		Дракон II
UCSUAS1		Кондор
UCSUOH1		Комбайн
UCSUOH2		Комбайн II
UCSUOH3		Комбайн III
UCSUAH1		Комбайн IV
UCSUAH2		Комбайн V
UCSUAH3		Комбайн VI
UCSUCS		Грузовая саламандра
UCSUUT		Транспортер единиц
UCSUSM1		Orca
UCSUSM2		Orca II
UCSUCTF		Флаг CTF


Оборудование

код		эффект
UCSWTCH1	Тигр MG
UCSWTCH2	Двойной пулемет Тигр
UCSWTSP1	Плазменная пушка тигр
UCSWTSP2	Плазменная пушка Тигр UPG1
UCSWTSR1	Ракетная установка Тигр
UCSWTSR2	Ракетная установка Тигр УПГ1
UCSWTSR3	Ракетная установка Тигр УПГ2
UCSWBMR1	Ракетная установка Panter / Jaguar Heavy
UCSWBMR2	Тяжелая ракетная установка Panter / Jaguar UPG1
UCSWBMR3	Тяжелая ракетная установка Panter / Jaguar UPG2
UCSWBSR1	Ракетная установка Panter / Jaguar
UCSWBSR2	Ракетная установка Panter / Jaguar UPG1
UCSWBSR3	Ракетная установка Panter / Jaguar UPG2
UCSWBHP1	Тяжелая плазменная пушка
UCSWBHP2	Тяжелая плазменная пушка УПГ1
UCSWBHP3	Тяжелая плазменная пушка УПГ2
UCSWSCH1	Паук MG
UCSWSCH2	Двойной пулемет Паук
UCSWTSG1	Гранатомет Тигр (2)
UCSWTSG2	Гранатомет Тигр (3)
UCSWBHG1	Гранатомет Пантера / Ягуар (2)
UCSWBHG2	Гранатомет Пантера / Ягуар (4)
UCSWSSP1	Плазменная пушка паука
UCSWSSP2	Плазменная пушка паук УПГ1
UCSWSSR1	Ракетная установка паук
UCSWSSR2	Ракетная установка паук УПГ1
UCSWSSR3	Ракетная установка паук УПГ2
UCSWSMR1	Тяжелая ракетная установка Spider / Jaguar
UCSWSMR2	Тяжелая ракетная установка Spider / Jaguar UPG1
UCSWDSR1	Ракетная установка Grizzly / Hydra
UCSWDSR2	Ракетная установка Grizzly / Hydra UPG1
UCSWDSR3	Ракетная установка Grizzly / Hydra UPG2
UCSWDMR1	Тяжелая ракетная установка Grizzly / Hydra
UCSWDMR2	Тяжелая ракетная установка Grizzly / Hydra UPG1
UCSWDHP1	Гризли / Гидра Тяжелая плазменная пушка
UCSWDHP2	Тяжелая плазменная пушка Grizzly / Hydra UPG1
UCSWACH1	MG (воздух)
UCSWACH2	Двойной MG (воздушный)
UCSWASR1	Пусковая установка авиационных ракет
UCSWASR2	Пусковая установка авиационных ракет УПГ1
UCSWAMR1	Пусковая установка тяжелых воздушных ракет
UCSWAMR2	Тяжелая авиационная ракетная установка УПГ1
UCSWAPB1	Бомбовый отсек (3 бомбы)
UCSWAPB2	Бомбовый отсек (5 бомб)
UCSWTSC1	Пушка тигра
UCSWTSC2	Двойная пушка Тигр
UCSWBHC1	Двойная пушка Пантера / Ягуар
UCSWBHC2	Счетверенная пушка Пантера / Ягуар
UCSCAA1		Плазменная пушка ПВО
UCSCAA2		Плазменная пушка AA II
UCSWAP1		Плазменная пушка Gargoil
UCSWAP2		Плазменная пушка Gargoil m2
UCSWAN1		Antirocket
UCSWEQ1		Генератор землетрясений
UCSWEQ2		Генератор землетрясений УПГ1
UCSWSH1		Генератор теней
UCSWSH2		Генератор теней UPG1
UCSWSH3		Генератор теней UPG2
UCSRADAR1	радар
UCSREPAIR1	Блок RepTure
UCSREPAIR2	Ремонтный блок UPG1
UCSBANNER	знамя
UCSBANNERB	знамя
UCSSUT		Транспортный крюк
UCSSBC1		Строительный шторм
UCSCART		Артиллерия (часть UCSBART)
UCSCSD		Центр защиты SDI (часть UCSBSD)


здание
	
код		эффект
UCSBBA		Гражданское производство
UCSBFA		Центр производства мехов
UCSBPP		Атомная электростанция
UCSBPR		Ядерный реактор
UCSBTB		База транспортировки руды
UCSBET		Передатчик энергии
UCSBRF		Очистительный завод
UCSBRC		Исследовательский центр
UCSBAB		База снабжения
UCSBWB		Верфь
UCSBFO		крепость
UCSBST		Малая башня
UCSBBT		Большая башня
UCSBPB		Центр управления плазмой
UCSBPC		Плазменный пистолет
UCSBHQ		главное управление
UCSBSD		Система защиты SDI
UCSBSH		ShadowTower
UCSBTE		Телепорт
UCSBEN1		Вход в туннель (поверхность)
UCSBEN2		Вход в туннель (подземный)
UCSBSS		Космодром
UCSBLZ		Зона приземления
UCSBUC		Ресайклер
UCSBHT		Тяжелая башня
UCSBART		артиллерия
